ID,SKU,Type,Name,Description,Stock,"Low stock amount","Backorders allowed?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Regular price",Images,Parent,"Meta: vn_name","Meta: vn_price","Meta: vn_contact","Meta: comp_name","Meta: comp_price","Meta: est_freight","Meta: shelf_no","Meta: restock_qty"
8023,P-DHP-CGOTS-134X34P,variation,"Cage - Open Top - Flat - Steel - 1 3/4"" x 3/4"" pin","1 3/4"" x 3/4"" pin",0,,0,2,,,,49,,id:8021,"Harris Sales",,,,,,,0
8024,P-DHP-CGOTS-134X34PU,variation,"Cage - Open Top - Flat - Steel - 1 3/4"" x 3/4"" pin - used","1 3/4"" x 3/4"" pin, used",8,,0,2,,,,19,,id:8021,,,,,,,,0
7484,P-DHP-CGSLSS-2X112,variation,"Cage - Sliding Sleeve - Stainless - 2"" x 1 1/2""","2"" x 1 1/2""",1,1,0,2.44,12,1.75,1.75,289,,id:7322,"Precision International",214.86,andrew.cook@prec-int.com,,,0,,2
7485,P-DHP-CGSLSS-2X112U,variation,"Cage - Sliding Sleeve - Stainless - 2"" x 1 1/2"" - used","2"" x  1 1/2"", used",0,,0,2,,,,69,,id:7322,,,,,,0,,0
7486,P-DHP-CGSLS-2X112,variation,"Cage - Sliding Sleeve - Steel - 2"" x 1 1/2""","2"" x 1 1/2""",2,1,0,2.2,12,2,2,159,,id:7323,"Harris Sales",115,"jeffh.hsc@gmail.com ",,,0,,2
7487,P-DHP-CGSLS-2X112U,variation,"Cage - Sliding Sleeve - Steel - 2"" x 1 1/2"" - used","2"" x 1 1/2"", used",1,,0,2,,,,49,,id:7323,,,,,,0,,0
7674,P-FIT-CBI150-2,variation,"Cap - Black Iron - 150 psi - 2 inch","2""",3,2,0,0.887,3,3,1.5,9,,id:7673,"MM Equipment",3.84,dustin@mandmequipment.com,,,0,5.00E+03,4
4331,P-FIT-CPD160-1,variation,"Cap - Poly - DR11 - 160 psi - 1""","1""",2,1,0,0.1,,,,6,,id:4330,ISCO,5.06,Lura.Scroggins@isco-pipe.com,,,0,5C2,2
4332,P-FIT-CPD160-2,variation,"Cap - Poly - DR11 - 160 psi - 2""","2""",2,1,0,0.3,,,,7,,id:4330,ISCO,5.15,Lura.Scroggins@isco-pipe.com,,,0,5C2,2
4333,P-FIT-CPD160-3,variation,"Cap - Poly - DR11 - 160 psi - 3""","3""",2,1,0,0.8,,,,9,,id:4330,ISCO,7.42,Lura.Scroggins@isco-pipe.com,Arrow,13.15,0,5C2,2
5757,P-WLD-CNJ815.5-512X8,variation,"Casing Nipple - J55 - 8rd - 15.5 lbs - 2,800 psi - 5 1/2"" x 8""","5 1/2"" x  8""",1,,0,8,,,,133.31,,id:5332,"Harris Sales",98.75,"jeffh.hsc@gmail.com ",Arrow,383.25,0,6B4,1
5449,P-RPC-CRC600-2X12FIG9,variation,"Cast Repair Clamps - 600 psi - 2"" x 12"" - Fig 95","2"" x 12"", Fig 95 \n",2,1,0,10.9,12,5,4,179,,id:5333,"Young Skinner Bros",133.52,cthoendel@youngskinnerbros.com," Arrow ",127.93,0,3A2,2
5450,P-RPC-CRC600-2X4FIG9,variation,"Cast Repair Clamps - 600 psi - 2"" x 4"" - Fig 94","2"" x 4"", Fig 94\n",1,1,0,4.04,5,5,5,79,,id:5333,"Young Skinner Bros",62.1,cthoendel@youngskinnerbros.com," Arrow ",48.71,0,3A2,2
6964,T-WCH-CIPW-12,variation,"Cast-Iron Pipe Wrench - 12""","12 Inch",36,4,0,1.89,10.5,3,1.25,7,,id:4377,"Yantai Newstart Machinery Co., Ltd",2.72,"Dany Zhang",,,0.507346189,2A3,36
4378,T-WCH-CIPW-18,variation,"Cast-Iron Pipe Wrench - 18""","18 Inch",18,4,0,3.9,16,3.75,1.5,11,,id:4377,"Yantai Newstart Machinery Co., Ltd",4.79,"Dany Zhang",,,2.680354683,2A3,12
4379,T-WCH-CIPW-24,variation,"Cast-Iron Pipe Wrench - 24""","24 Inch",16,4,0,6.01,21.5,4.25,1.5,19,,id:4377,"Yantai Newstart Machinery Co., Ltd",7.08,"Dany Zhang",,,4.754132231,2A3,10
4380,T-WCH-CIPW-36,variation,"Cast-Iron Pipe Wrench - 36""","36 Inch",7,2,0,11,30.5,5,2,39,,id:4377,"Yantai Newstart Machinery Co., Ltd",12.46,"Dany Zhang",,,13.94455923,2A4,6
7800,T-WCH-CIPW-48,variation,"Cast-Iron Pipe Wrench - 48""","48 Inch",4,1,0,19.4,42,7,3,49,,id:4377,"Yantai Newstart Machinery Co., Ltd",21,"Dany Zhang",,,11.06917808,2A4,4
6965,T-WCH-CIPW-6,variation,"Cast-Iron Pipe Wrench - 6""","6 Inch",60,4,0,0.431,5.25,1.5,0.75,4,,id:4377,"Yantai Newstart Machinery Co., Ltd",1.54,"Dany Zhang",,,0.172348485,2A3,60
4146,T-CLM-CC-GCLA3,variation,"C-CLAMP - 3""","G CLAMP 3""",48,8,0,0.97,,,,3,,id:4087,"Jiangsu Universal Industrial Co., Ltd.",1.82,"Lyn Zhang",,,0.01,,48
4147,T-CLM-CC-GCLA4,variation,"C-CLAMP - 4""","G CLAMP 4""",30,8,0,1.37,,,,4,,id:4087,"Jiangsu Universal Industrial Co., Ltd.",2.5,"Lyn Zhang",,,0.03,,30
7783,P-PMP-CPS3P4-EPRMSEA3,variation,"Centrifugal Pump - Stainless - 3 phase - 480v - EPR Seal - 3500 bpd - model 50-250","EPR Mechanical Seal, 3500 bpd",1,,0,364,,,,2400,,id:7782,"QYuan Machine Co., Limited",1380,"Mr Hu",,,318.19,,0
5737,S-OIL-CT200P-5G,variation,"CENTRILIFT - TC-200 - Performance Gear Oil - 5 gal","5 gal",1,,0,35,,,,699,,id:5394,Baker-Hughes,494.72,kris.wilson@bakerhughes.com,,,25,6C1,2
9523,P-RIG-CSWH2L-38X6,variation,"Chain Sling w/ Hooks - 2 Leg - Grade 100 - 3/8"" x 6'","3/8"" x 6'",1,,0,25.21,,,,399,,id:9522,"US Cargo Control",282.98,https://www.uscargocontrol.com/products/3-8-x-6-double-leg-w-oblong-sling-hooks-grade-100,,,0,,0
9425,P-RIG-CT-27HAN56C,variation,"Chain Tongs - 27"" handle - 56"" chain","27"" handle, 56"" chain",0,,0,15,,,,829,,id:9424,"CF Services",600,mike5392@hotmail.com,,,0,,0
8134,P-VLV-CV-1,variation,"Check Valve - Alum Bronze - 2160 psi - 1 inch","1""",1,,0,4,5,4,2.5,259,,id:8130,"Young Skinner Bros",199,cthoendel@youngskinnerbros.com,Arrow,263.3,0,6B3,2
8135,P-VLV-CV-2,variation,"Check Valve - Alum Bronze - 2160 psi - 2 inch","2""",1,,0,9.21,6.5,6,3.5,529,,id:8130,"Young Skinner Bros",385,cthoendel@youngskinnerbros.com,Arrow,867.09,0,6B3,2
6020,P-VLV-CVB-1200PSI,variation,"Check Valve - Brass - 1"" - 200 psi","1"", 200 psi",0,1,0,1,,,,12,,id:5334,"Spicer and Sandburg",9.87,crystal@spicerandsandburg.com,,,0,6B3,1
6019,P-VLV-CVB-2200PSI,variation,"Check Valve - Brass - 2"" - 200 psi","2"", 200 psi",1,1,0,3,,,,43,,id:5334,"Spicer and Sandburg",35.24,crystal@spicerandsandburg.com,,,0,6B3,1
5451,P-VLV-CVB-2300PSI,variation,"Check Valve - Brass - 2"" - 300 psi","2"", 300 psi\n",9,2,0,6,5.75,5.5,4,94,,id:5334,"MM Equipment",66.6,dustin@mandmequipment.com,Arrow,142.31,0,6B3,8
6018,P-VLV-CVB-3200PSI,variation,"Check Valve - Brass - 3"" - 200 psi","3"", 200 psi",1,1,0,5,,,,99,,id:5334,"Spicer and Sandburg",83.53,crystal@spicerandsandburg.com,,,0,6B3,1
6202,PRT-VLV-CHKVBUS-2NPT300P,variation,"Check Valve - Brass - US Made - 2"" npt - 300 psi","2"" npt, 300 psi",0,,0,,,,,119,,id:6201,,,,,,,,
6557,P-VLV-CVDI-1100PSI,variation,"Check Valve - Ductile Iron - 1"" - 1000 psi","1"", 1000 psi",2,1,0,5.58,5,5,5,39,,id:5335,"MM Equipment",29.25,dustin@mandmequipment.com,,,0,6B3,2
5452,P-VLV-CVDI-2100PSI,variation,"Check Valve - Ductile Iron - 2"" - 1,000 psi","2"", 1000 psi\n",1,,0,6,,,,58.93,,id:5335,"MM Equipment",43.65,dustin@mandmequipment.com,Arrow,175.78,0,6B3,1
5453,P-VLV-CVDI-2150PSI,variation,"Check Valve - Ductile Iron - 2"" - 1,500 psi","2"", 1500 psi\n",1,,0,12.2,6.75,6.25,4.5,69,,id:5335,"MM Equipment",51.24,dustin@mandmequipment.com,Arrow,175.78,0,6B3,2
5454,P-VLV-CVDI-3300PSI,variation,"Check Valve - Ductile Iron - 3"" - 300 psi","3"", 300 psi\n",1,,0,4,,,,160.38,,id:5335,"Spicer and Sandburg",118.8,crystal@spicerandsandburg.com,Arrow,437.93,0,6B3,1
5455,P-VLV-CVB2-14MFN,variation,"Check Valve - In-Line - Brass - 3,000 psi - 1/4"" - m/f","1/4"", m/f \n",0,2,0,1,,,,17.93,,id:5336,"MM Equipment",13.28,dustin@mandmequipment.com,Arrow,26.64,0,6B3,4
5456,P-VLV-CVB2-18MFN,variation,"Check Valve - In-Line - Brass - 3,000 psi - 1/8"" - m/f","1/8"", m/f \n",3,2,0,1,,,,17.93,,id:5336,"MM Equipment",13.28,dustin@mandmequipment.com,Arrow,26.64,0,6B3,4
5457,P-VLV-CVSS-14MFN,variation,"Check Valve - In-Line - Stainless - 316ss - 6,000 psi - 1/4"" - m/f","1/4"", m/f \n",0,1,0,0.923,3.25,1.25,1.25,19,,id:5337,"MM Equipment",12.86,dustin@mandmequipment.com,Arrow,32.4,0,6B3,5
5458,P-VLV-CVSS-18MFN,variation,"Check Valve - In-Line - Stainless - 316ss - 6,000 psi - 1/8"" - m/f","1/8"", m/f \n",4,1,0,0.923,3.25,1.25,1.25,19,,id:5337,"MM Equipment",12.86,dustin@mandmequipment.com,Arrow,32.4,0,6B3,2
6499,P-VLV-CVSS2-1NPT,variation,"Check Valve - Stainless - 316ss - 1000psi - 1""","1"", npt",4,1,0,2.74,4.5,4,4,49,,id:6498,"MM Equipment",35,dustin@mandmequipment.com,,,0,6B3,4
8529,P-PMP-CPUMP-12G,variation,"Chemical Pump - Low Volume - Stainless Head - 0.25 to 12 gpd","Stainless Head, 0.25 to 12 gal/day",5,4,0,9.06,11,10,6,469,,id:8527,"Suzhou Asenhe Environmental Protection Technology Co.",168,asenhe,,,17.6783,5C1,10
5860,P-VLV-CVOZ-234STES,variation,"Choke Valve - OCT - ZN60 - 2"" - 3/4"" stem and seat","2"", 3/4"" stem and seat",1,,0,41.2,25,9,9,369,,id:4837,"MM Equipment",273.92,dustin@mandmequipment.com,,,0,6B3,1
4659,S-OIL-CHA32-5G,variation,"CITGO Hydurance AW 32 - 5 gal","5 gal",0,1,0,33.5,15,12,12,64,,id:4657,"Hooten Oil",44.45,https://hootenoil.cimproduction.com/,,,0,6C4,2
4660,S-OIL-CHA32-55G,variation,"CITGO Hydurance AW 32 - 55 gal","55 gal",0,,0,430,35,23,23,679,,id:4657,"Hooten Oil",487.63,https://hootenoil.cimproduction.com/,,,0,Y-NE,0
5835,S-OIL-CPGO80-5G,variation,"CITGO Premium Gear Oil 80/90 - 5 gal","5 gal",0,5,0,37,15,12,12,129,,id:4306,"Hooten Oil",80.72,https://hootenoil.cimproduction.com/,Arrow,135.84,0,6C4,12
7111,S-OIL-CPGO80-55G,variation,"CITGO Premium Gear Oil 80/90 - 55 gal","55 gal",0,,0,450,34.5,23,23,1229,,id:4306,"Hooten Oil",874.2,https://hootenoil.cimproduction.com/,,,0,Y-NE,0
3659,P-FIT-CLNIP-28040WTN,variation,"Clear Nipple - 2"", 8""","2"" by 8"", 0.406"" wall thickness, NPT threads",0,,0,1.5,,,,56,,id:2413,Petol,42,laars@petol.com,,,7.09,7B5,1
3660,P-FIT-CLNIP-38031WTN,variation,"Clear Nipple - 3"", 8""","3"" by 8"", 0.312"" wall thickness, NPT threads",1,,0,2,,,,76,,id:2413,Petol,57,laars@petol.com,,,7.09,7B5,1
6375,P-RIG-CQR-SQUTYP,variation,"Clutch Quick Release - Square Type","Square Type",0,,0,,,,,347.38,,id:6321,"CF Services",315.8,mike5392@hotmail.com,,,0,3B4,1
5934,P-TNK-CT-12BBL,variation,"Collapsible Tank - 12 bbl","12 bbl",1,,0,55.1,21.7,14.2,13,349,,id:3988,"Shandong Future Agricultural Technology Co., Ltd.",195,"Ice Lau",,,60.69,3C5,2
5935,P-TNK-CT-125BBL,variation,"Collapsible Tank - 125 bbl","125 bbl",1,,0,161,40.2,20.5,17.7,1159,,id:3988,"Shandong Future Agricultural Technology Co., Ltd.",706,"Ice Lau",,,219.73,3C5,2
5936,P-TNK-CT-50BBL,variation,"Collapsible Tank - 50 bbl","50 bbl",1,,0,81.6,26.8,18.9,17.7,699,,id:3988,"Shandong Future Agricultural Technology Co., Ltd.",410,"Ice Lau",,,127.61,3B5,2
8817,P-FIT-CONPLY3K-14COMX14,variation,"Connector - Ell 90 - Poly - 300 psi - 1/4"" comp x 1/4"" mnpt","1/4"" comp x 1/4"" mnpt",6,2,0,0.0188,1.5,1.5,1,3,,id:8816,Zoro,2.19,https://www.zoro.com/parker-14-compression-x-mnpt-male-90-degree-elbow-p4me4/i/G0527825/#specifications,,,0,5.00E+03,10
8818,P-FIT-CONPLY3K-38COMX14,variation,"Connector - Ell 90 - Poly - 300 psi - 3/8"" comp x 1/4"" mnpt","3/8"" comp x 1/4"" mnpt",16,4,0,0.0188,1.5,1.5,1,4,,id:8816,Zoro,2.45,https://www.zoro.com/parker-38-compression-x-14-mnpt-male-90-degree-elbow-p4me6/i/G0884046/#specifications,,,0,5.00E+03,16
7489,P-DHP-CONSLB-2X112,variation,"Connector - Sliding Sleeve - Brass - 2"" x 1 1/2""","2"" x 1 1/2""",0,,0,2,,,,99,,id:7324,"Harris Sales",,"jeffh.hsc@gmail.com ",,,0,,0
7490,P-DHP-CONSLSS-2X112,variation,"Connector - Sliding Sleeve - Stainless - 2"" x 1 1/2""","2"" x 1 1/2""",1,1,0,1.6,6,2,2,229,,id:7325,"Precision International",167.67,andrew.cook@prec-int.com,,,0,,2
7491,P-DHP-CONSLS-2X112,variation,"Connector - Sliding Sleeve - Steel - 2"" x 1 1/2""","2"" x 1 1/2""",0,,0,2,,,,59,,id:7326,"Harris Sales",,"jeffh.hsc@gmail.com ",,,0,,1
7492,P-DHP-CONSLS-2X112U,variation,"Connector - Sliding Sleeve - Steel - 2"" x 1 1/2"" - used","2"" x 1 1/2"", used",0,,0,2,,,,19,,id:7326,,,,,,0,,0
8944,P-FIT-CONSTRB2-38COMX14,variation,"Connector - Straight - Brass - 200 psi - 3/8"" comp x 1/4"" mnpt","3/8"" comp x 1/4"" mnpt",13,4,0,0.0643,1.5,0.75,0.75,4,,id:8943,Zoro,2.459,https://www.zoro.com/parker-38-compression-x-14-mnpt-brass-connector-10pk-max-pressure-200-psi-68c-6-4/i/G2641737/#specifications,,,0,5.00E+03,20
8946,P-FIT-CONSTRPL-38COMX14,variation,"Connector - Straight - Poly - 150 psi - 3/8"" comp x 1/4"" comp","3/8"" comp x 1/4"" comp",16,4,0,0.025,1.75,1,1,7,,id:8945,Zoro,4.59,https://www.zoro.com/parker-38-x-14-compression-union-connector-p6uc4/i/G3381271/,,,0,5.00E+03,16
8947,P-FIT-CONSTRPL2-14COMX14,variation,"Connector - Straight - Poly - 300 psi - 1/4"" comp x 1/4"" mnpt","1/4"" comp x 1/4"" mnpt",9,2,0,0.0125,1.5,0.75,0.75,6,,id:8819,Zoro,4.15,https://www.zoro.com/parker-14-compression-x-mnpt-male-connector-p4mc4/i/G2389073/,,,0,5.00E+03,8
8820,P-FIT-CONSTRPL2-14COMX18,variation,"Connector - Straight - Poly - 300 psi - 1/4"" comp x 1/8"" mnpt","1/4"" comp x 1/8"" mnpt",10,1,0,0.0119,1.5,1,1,3,,id:8819,Zoro,1.89,https://www.zoro.com/parker-connector-poly-compxm-14inx18in-p4mc2/i/G2637327/#specifications,,,0,5.00E+03,4
8821,P-FIT-CONSTRPL2-38COMX38,variation,"Connector - Straight - Poly - 300 psi - 3/8"" comp x 3/8"" mnpt","3/8"" comp x 3/8"" mnpt",8,4,0,0.0188,1.5,1,1,5,,id:8819,Zoro,2.99,https://www.zoro.com/parker-38-compression-x-mnpt-male-connector-p6mc6/i/G0314781/,,,0,5.00E+03,8
7493,P-DHP-CONUBB-2X112,variation,"Connector - Upper Barrel - Brass - 2"" x 1 1/2""","2"" x 1 1/2""",0,,0,2,,,,99,,id:7327,"Harris Sales",,"jeffh.hsc@gmail.com ",,,0,,1
7494,P-DHP-CONUBB-2X112U,variation,"Connector - Upper Barrel - Brass - 2"" x 1 1/2"" - used","2"" x 1 1/2"", used",4,,0,2,,,,39,,id:7327,,,,,,0,,0
7495,P-DHP-CONUBSS-2X11216T,variation,"Connector - Upper Barrel - Stainless - 2"" x 1 1/2"" - 16thd x 14thd","2"" x 1 1/2"", 16 thread x 14 thread",1,,0,2,,,,99,,id:7328,"Harris Sales",42.15,"jeffh.hsc@gmail.com ",,,0,,1
7496,P-DHP-CONUBSS-2X11216T2,variation,"Connector - Upper Barrel - Stainless - 2"" x 1 1/2"" - 16thd x 14thd - used","2"" x 1 1/2"", 16 thread x 14 thread, used",1,,0,2,,,,39,,id:7328,,,,,,0,,0
8948,P-DHP-CONUBSS-2X11216T3,variation,"Connector - Upper Barrel - Stainless - 2"" x 1 1/2"" - 16thd x 16thd","2"" x 1 1/2"", 16 thread x 16 thread",1,1,0,1.34,6,2,2,189,,id:7328,"Precision International",136.82,andrew.cook@prec-int.com,,,0,,2
7497,P-DHP-CONUBS-2X11216T,variation,"Connector - Upper Barrel - Steel - 2"" x 1 1/2"" - 16thd x 14thd","2"" x 1 1/2"", 16 thread x 14 thread",0,,0,2,,,,59,,id:7329,"Harris Sales",,"jeffh.hsc@gmail.com ",,,0,,1
7498,P-DHP-CONUBS-2X11216T2,variation,"Connector - Upper Barrel - Steel - 2"" x 1 1/2"" - 16thd x 14thd - used","2"" x 1 1/2"", 16 thread x 14 thread, used",11,,0,2,,,,19,,id:7329,,,,,,0,,0
9382,P-DHP-CONUBS-2X1121X1,variation,"Connector - Upper Barrel - Steel - 2"" x 1 1/2"" - 16thd x 16thd - used","2"" x 1 1/2"", 16thread x 16thread, used",3,,0,2,,,,14,,id:7329,,,,,,,,0
6538,S-CHM-CINH-5G,variation,"Corrosion Inhibitor - CORR10211A - 5 gal","CORR10211A, 5 gal",11,4,0,35,15,12,12,129,,id:6492,"ChampionX LLC",100.4,jake.mills@championx.com,,,0,YD-N,22
6493,S-CHM-CINH-5G2,variation,"Corrosion Inhibitor - CORR10488W - 5 gal","CORR10488W, 5 gallons",-7,,1,35,15,12,12,69,,id:6492,"ChampionX LLC",59.9,jake.mills@championx.com,,,0,YD-N,22
5459,P-FIT-CPLBI-1N,variation,"Coupling - Black Iron - 150 psi - 1""","1"" \n",7,2,0,0.456,2,2,2,5,,id:5338,"Spicer and Sandburg",2.56,crystal@spicerandsandburg.com,Arrow,5.44,0.988962472,5.00E+03,8
5460,P-FIT-CPLBI-112N,variation,"Coupling - Black Iron - 150 psi - 1-1/2""","1 1/2""\n",4,2,0,0.8,,,,6.59,,id:5338,"Spicer and Sandburg",4.88,crystal@spicerandsandburg.com,Arrow,6.93,0,5.00E+03,5
5461,P-FIT-CPLBI-114N,variation,"Coupling - Black Iron - 150 psi - 1-1/4""","1 1/4""\n",8,2,0,0.668,2.19,2.19,2,4.41,,id:5338,"Spicer and Sandburg",2.3611,crystal@spicerandsandburg.com,Arrow,5.65,0,5.00E+03,4
5462,P-FIT-CPLBI-2N,variation,"Coupling - Black Iron - 150 psi - 2""","2""\n",3,2,0,1.34,3,3,2.5,8.72,,id:5338,"Spicer and Sandburg",4.5972,crystal@spicerandsandburg.com,Arrow,9.9,0,5.00E+03,8
5463,P-FIT-CPLFRG-1N,variation,"Coupling - Forged Steel - 3,000 psi - 1""","1"" \n",12,2,0,0.906,2.5,1.75,1.75,9,,id:5339,"Spicer and Sandburg",3.6,crystal@spicerandsandburg.com,Arrow,12.48,0,5.00E+04,8
5464,P-FIT-CPLFRG-2N,variation,"Coupling - Forged Steel - 3,000 psi - 2""","2"" \n",6,4,0,4,,,,29,,id:5339,"Spicer and Sandburg",8.82,crystal@spicerandsandburg.com,Arrow,33.58,0,5.00E+04,8
6558,P-FIT-CPLFRG-3,variation,"Coupling - Forged Steel - 3,000 psi - 3""","3""",2,1,0,6.79,4,4,4,69,,id:5339,"MM Equipment",38.83,dustin@mandmequipment.com,Arrow,215.95,0,5.00E+04,2
7509,P-DHP-CPLSCB-212,variation,"Coupling - Seating Cup - Brass - 2 1/2""","2 1/2""",0,,0,2,,,,159,,id:7330,"Harris Sales",,"jeffh.hsc@gmail.com ",,,0,,0
7510,P-DHP-CPLSCB-212USE,variation,"Coupling - Seating Cup - Brass - 2 1/2"" - used","2 1/2"", used",1,,0,2,,,,53,,id:7330,,,,,,0,,0
7511,P-DHP-CPLSCB-2,variation,"Coupling - Seating Cup - Brass - 2""","2""",0,,0,2,,,,129,,id:7330,"Harris Sales",,"jeffh.hsc@gmail.com ",,,0,,1
7512,P-DHP-CPLSCB-2USE,variation,"Coupling - Seating Cup - Brass - 2"" - used","2"", used",3,,0,2,,,,43,,id:7330,,,,,,0,,0
7513,P-DHP-CPLSCSS-2,variation,"Coupling - Seating Cup - Stainless - 2""","2""",1,,0,0.8,4,2,2,59,,id:7331,"Harris Sales",33.5,"jeffh.hsc@gmail.com ",,,0,,1
7514,P-DHP-CPLSCSS-2USE,variation,"Coupling - Seating Cup - Stainless - 2"" - used","2"", used",0,,0,2,,,,53,,id:7331,,,,,,0,,0
7515,P-DHP-CPLSCS-212,variation,"Coupling - Seating Cup - Steel - 2 1/2""","2 1/2""",0,,0,2,,,,79,,id:7332,"Harris Sales",,"jeffh.hsc@gmail.com ",,,0,,0
7516,P-DHP-CPLSCS-212USE,variation,"Coupling - Seating Cup - Steel - 2 1/2"" - used","2 1/2"", used",7,,0,2,,,,26,,id:7332,,,,,,0,,0
7517,P-DHP-CPLSCS-2,variation,"Coupling - Seating Cup - Steel - 2""","2""",0,,0,2,,,,69,,id:7332,"Harris Sales",,"jeffh.hsc@gmail.com ",,,0,,2
7518,P-DHP-CPLSCS-2USE,variation,"Coupling - Seating Cup - Steel - 2"" - used","2"", used",33,,0,2,,,,23,,id:7332,,,,,,0,,0
6562,P-FIT-CPLSS-1150PSI,variation,"Coupling - Stainless - 316ss - 1"" - 150 psi","1"", 150 psi",4,2,0,0.193,1.5,1,1,10,,id:5340,"MM Equipment",7.34,dustin@mandmequipment.com,,,0,5B5,4
5490,P-FIT-CPLSS-1300PSI,variation,"Coupling - Stainless - 316ss - 1"" - 3,000 psi","1"", 3,000 psi\n",7,2,0,1,2.5,1.75,1.75,24,,id:5340,"Spicer and Sandburg",17.4371,crystal@spicerandsandburg.com,Arrow,12.12,0,5B5,8
6561,P-FIT-CPLSS-2150PSI,variation,"Coupling - Stainless - 316ss - 2"" - 150 psi","2"", 150 psi",4,2,0,2.11,3,3,2.5,29,,id:5340,"MM Equipment",19.51,dustin@mandmequipment.com,,,0,5B5,4
6560,P-FIT-CPLSS-2300PSI,variation,"Coupling - Stainless - 316ss - 2"" - 3000 psi","2"", 3000 psi",4,2,0,3.07,3.5,2.5,2.5,49,,id:5340,"MM Equipment",19.51,dustin@mandmequipment.com,,,0,5B5,4
5731,P-FIT-CPLSS-3150PSI,variation,"Coupling - Stainless - 316ss - 3"" - 150 psi","3"", 150 psi",4,2,0,2.28,4,3.5,3.5,99,,id:5340,"Spicer and Sandburg",69.36,crystal@spicerandsandburg.com,Arrow,54.96,5,5B5,4
5732,P-FIT-CPLSS-34150PSI,variation,"Coupling - Stainless - 316ss - 3/4"" - 150 psi","3/4"", 150 psi",8,4,0,0.318,1.31,1.31,2,4.99,,id:5340,"Spicer and Sandburg",6.7662,crystal@spicerandsandburg.com,Arrow,5.26,0,5B5,8
5491,P-FIT-CPLSS-34300P,variation,"Coupling - Stainless - 316ss - 3/4"" - 3,000 psi","3/4"", 3,000 psi\n",2,2,0,0.8,,,,7,,id:5340,"Spicer and Sandburg",6.59,crystal@spicerandsandburg.com,Arrow,8.93,0,5B5,2
3625,P-FIT-CPLSCXH-1,variation,"Coupling - Steel - Coated - Extra Heavy - 3000 psi - 1 inch","1""",3,1,0,0.85,,,,19,,id:3624,Assm006,13.48,,,,0,5B1,4
3626,P-FIT-CPLSCXH-2,variation,"Coupling - Steel - Coated - Extra Heavy - 3000 psi - 2 inch","2""",6,1,0,2.95,,,,32,,id:3624,Assm006,20.96,,,,0,5B1,6
3627,P-FIT-CPLSCXH-3,variation,"Coupling - Steel - Coated - Extra Heavy - 3000 psi - 3 inch","3""",1,1,0,6.89,,,,109,,id:3624,Assm006,80.11,,,,0,5B1,4
6926,P-FIT-CPLSCSD-3,variation,"Coupling - Steel - Coated - Standard - 1000 psi - 3 inch","3""",1,,0,4,,,,109,,id:6925,Assm006,80.11,,,,0,5B2,1
7519,P-DHP-CPLVRB-112X111V,variation,"Coupling - Valve Rod to Pin End Plunger - Brass - 1 1/2"" x 11/16"" vr","1 1/2"" x 11/16"" vr",0,,0,2,,,,129,,id:7333,"Harris Sales",,"jeffh.hsc@gmail.com ",,,0,,1
7520,P-DHP-CPLVRB-112X111V2,variation,"Coupling - Valve Rod to Pin End Plunger - Brass - 1 1/2"" x 11/16"" vr - used","1 1/2"" x 11/16"" vr, used",1,,0,2,,,,43,,id:7333,,,,,,0,,0
7521,P-DHP-CPLVRB-114X111V,variation,"Coupling - Valve Rod to Pin End Plunger - Brass - 1 1/4"" x 11/16"" vr","1 1/4"" x 11/16"" vr",0,,0,2,,,,79,,id:7333,"Harris Sales",,"jeffh.hsc@gmail.com ",,,0,,1
7522,P-DHP-CPLVRB-114X111V2,variation,"Coupling - Valve Rod to Pin End Plunger - Brass - 1 1/4"" x 11/16"" vr - used","1 1/4"" x 11/16"" vr, used",2,,0,2,,,,26,,id:7333,,,,,,0,,0
7523,P-DHP-CPLVRSS-112X111V,variation,"Coupling - Valve Rod to Pin End Plunger - Stainless - 1 1/2"" x 11/16"" vr","1 1/2"" x 11/16"" vr",2,1,0,1.41,6,1.5,1.5,129,,id:7334,"Harris Sales",83.25,"jeffh.hsc@gmail.com ",,,0,,2
7524,P-DHP-CPLVRSS-112X111V2,variation,"Coupling - Valve Rod to Pin End Plunger - Stainless - 1 1/2"" x 11/16"" vr - used","1 1/2"" x 11/16"" vr, used",0,,0,2,,,,43,,id:7334,,,,,,0,,0
7525,P-DHP-CPLVRSS-114X111V,variation,"Coupling - Valve Rod to Pin End Plunger - Stainless - 1 1/4"" x 11/16"" vr","1 1/4"" x 11/16"" vr",1,,0,0.818,4,1.25,1.25,89,,id:7334,"Harris Sales",60.5,"jeffh.hsc@gmail.com ",,,0,,1
7526,P-DHP-CPLVRSS-112X111V3,variation,"Coupling - Valve Rod to Pin End Plunger - Stainless - 1 1/4"" x 11/16"" vr - used","1 1/2"" x 11/16"" vr, used",0,,0,2,,,,26,,id:7334,,,,,,0,,0
7527,P-DHP-CPLVRS-112X111V,variation,"Coupling - Valve Rod to Pin End Plunger - Steel - 1 1/2"" x 11/16"" vr","1 1/2"" x 11/16"" vr",2,1,0,1.36,5,1.5,1.5,69,,id:7335,"Harris Sales",41.25,"jeffh.hsc@gmail.com ",,,0,,2
